,structure,semantics,syntax,lexicon
1850,Accessible,Accessible,+Complexe,Accessible
2193,Facile,Facile,Facile,Facile
342,Très Facile,Facile,Facile,Facile
267,Très Facile,Très Facile,Très Facile,Très Facile
658,Accessible,Accessible,Accessible,Facile
1513,Très Facile,Facile,Facile,Très Facile
7,Très Facile,Facile,Très Facile,Très Facile
1385,Très Facile,Très Facile,Très Facile,Très Facile
409,Facile,Facile,Facile,Facile
559,Très Facile,Très Facile,Très Facile,Très Facile
677,Très Facile,Facile,Très Facile,Très Facile
496,Très Facile,Très Facile,Facile,Très Facile
660,Facile,Facile,Facile,Facile
352,Accessible,Accessible,+Complexe,Accessible
272,Très Facile,Très Facile,Très Facile,Facile
2030,Accessible,Accessible,Accessible,Accessible
29,Accessible,Accessible,Accessible,Accessible
1197,Accessible,Accessible,+Complexe,Accessible
656,Facile,Accessible,Facile,Facile
1177,Facile,Accessible,Accessible,+Complexe
415,Facile,Facile,Facile,Facile
1739,Facile,Accessible,Accessible,Facile
1307,Très Facile,Facile,Très Facile,Très Facile
1416,Facile,Facile,Facile,Très Facile
2105,Facile,Facile,Accessible,Facile
1381,Facile,Facile,Facile,Très Facile
771,Facile,Facile,Facile,Facile
1761,Facile,Facile,Facile,Facile
1932,Accessible,Accessible,Accessible,Accessible
714,Facile,Très Facile,Facile,Très Facile
2133,Accessible,Accessible,Accessible,Accessible
1586,Accessible,+Complexe,Facile,Facile
268,Accessible,Accessible,Accessible,Facile
1703,Facile,Très Facile,Facile,Très Facile
2032,Facile,Accessible,Accessible,Facile
202,Très Facile,Facile,Accessible,Facile
1034,Très Facile,Très Facile,Facile,Très Facile
2187,Facile,Accessible,Accessible,Facile
1887,Facile,Facile,Accessible,Facile
973,Accessible,Accessible,Facile,Facile
738,Facile,Accessible,Accessible,Facile
183,Facile,Accessible,Accessible,Accessible
614,Facile,Facile,Facile,Facile
410,Accessible,+Complexe,+Complexe,Accessible
1414,Très Facile,Très Facile,Facile,Très Facile
6,Facile,Très Facile,Facile,Très Facile
1664,Facile,Facile,Facile,Facile
723,Accessible,Facile,Accessible,Facile
706,Très Facile,Très Facile,Très Facile,Très Facile
1636,Accessible,Accessible,Accessible,Facile
1537,Accessible,Accessible,+Complexe,Accessible
1351,Accessible,Accessible,Accessible,Facile
1727,Très Facile,Très Facile,Très Facile,Très Facile
1353,Accessible,Accessible,Facile,Facile
621,Accessible,Accessible,Accessible,Accessible
1988,Accessible,Facile,Très Facile,Facile
998,Accessible,Accessible,Accessible,+Complexe
1743,Accessible,Facile,Accessible,Accessible
528,Très Facile,Très Facile,Très Facile,Très Facile
783,Accessible,Très Facile,Facile,Très Facile
