config	Structure mad	Structure acc	Structure macro-F1	Lexicon mad	Lexicon acc	Lexicon macro-F1	Syntax mad	Syntax acc	Syntax macro-F1	Semantics mad	Semantics acc	Semantics macro-F1
(random_state: 2, prior: uniform, aggregation_type: mean)	0.372	0.667	0.694	0.693	0.448	0.441	0.429	0.654	0.631	1.1	0.238	0.229
(random_state: 2, prior: uniform, aggregation_type: mean+std)	0.253	0.755	0.805	0.452	0.613	0.596	0.195	0.81	0.867	1.1	0.238	0.229
(random_state: 2, prior: uniform, aggregation_type: mean+std+per+skew)	0.24	0.76	0.858	0.342	0.658	0.805	0.119	0.881	0.933	1.1	0.238	0.229
(random_state: 2, prior: uniform, aggregation_type: mean+std+max+per+skew)	0.128	0.872	0.928	0.346	0.654	0.805	0.177	0.823	0.899	1.1	0.238	0.229
(random_state: 2, prior: uniform, aggregation_type: full)	0.152	0.848	0.913	0.346	0.654	0.805	0.199	0.801	0.885	1.1	0.238	0.229
(random_state: 2, prior: empirical, aggregation_type: mean)	0.31	0.699	0.736	0.468	0.563	0.476	0.431	0.652	0.621	0.593	0.45	0.3
(random_state: 2, prior: empirical, aggregation_type: mean+std)	0.238	0.766	0.821	0.357	0.652	0.697	0.199	0.807	0.862	0.593	0.45	0.3
(random_state: 2, prior: empirical, aggregation_type: mean+std+per+skew)	0.234	0.766	0.861	0.34	0.66	0.806	0.119	0.881	0.933	0.593	0.45	0.3
(random_state: 2, prior: empirical, aggregation_type: mean+std+max+per+skew)	0.119	0.881	0.933	0.351	0.649	0.803	0.177	0.823	0.899	0.593	0.45	0.3
(random_state: 2, prior: empirical, aggregation_type: full)	0.149	0.851	0.915	0.344	0.656	0.806	0.197	0.803	0.887	0.593	0.45	0.3
